timestamp,asset_id,spn190_engine_speed_rpm,spn110_coolant_temp_c,spn100_oil_pressure_kpa,spn175_oil_temp_c,is_anomaly,anomaly_type
2026-07-11T11:56:43+00:00,GEN-01,2127.4,94.3,366.6,98.6,0,
2026-07-11T11:56:44+00:00,GEN-01,2054.0,94.7,280.8,102.7,0,
2026-07-11T11:56:45+00:00,GEN-01,2114.8,95.5,350.9,100.0,0,
2026-07-11T11:56:46+00:00,GEN-01,2101.7,93.9,349.8,99.9,0,
2026-07-11T11:56:47+00:00,GEN-01,2120.7,93.2,370.0,100.2,0,
2026-07-11T11:56:48+00:00,GEN-01,2106.9,93.7,350.5,100.4,0,
2026-07-11T11:56:49+00:00,GEN-01,2128.7,94.5,371.9,101.9,0,
2026-07-11T11:56:50+00:00,GEN-01,2102.0,93.8,339.3,99.0,0,
2026-07-11T11:56:51+00:00,GEN-01,2094.0,94.5,330.6,101.3,0,
2026-07-11T11:56:52+00:00,GEN-01,2110.7,95.7,346.7,101.9,0,
2026-07-11T11:56:53+00:00,GEN-01,2108.7,94.3,354.2,101.8,0,
2026-07-11T11:56:54+00:00,GEN-01,2097.1,95.7,338.4,101.4,0,
2026-07-11T11:56:55+00:00,GEN-01,2099.0,95.3,332.8,101.6,0,
2026-07-11T11:56:56+00:00,GEN-01,2113.7,93.8,360.0,100.5,0,
2026-07-11T11:56:57+00:00,GEN-01,2113.7,95.4,348.7,100.3,0,
2026-07-11T11:56:58+00:00,GEN-01,2095.9,95.3,330.7,100.3,0,
2026-07-11T11:56:59+00:00,GEN-01,2098.0,95.4,337.6,99.4,0,
2026-07-11T11:57:00+00:00,GEN-01,2076.7,94.8,322.7,101.6,0,
2026-07-11T11:57:01+00:00,GEN-01,2129.2,94.9,364.6,100.8,0,
2026-07-11T11:57:02+00:00,GEN-01,2100.9,94.2,345.5,101.2,0,
2026-07-11T11:57:03+00:00,GEN-01,2124.5,94.0,362.1,102.1,0,
2026-07-11T11:57:04+00:00,GEN-01,2110.9,94.6,357.1,102.0,0,
2026-07-11T11:57:05+00:00,GEN-01,2134.0,95.2,370.3,101.3,0,
2026-07-11T11:57:06+00:00,GEN-01,2128.2,94.2,370.4,100.2,0,
2026-07-11T11:57:07+00:00,GEN-01,2110.1,96.0,346.9,99.5,0,
2026-07-11T11:57:08+00:00,GEN-01,2127.7,94.4,368.5,101.6,0,
2026-07-11T11:57:09+00:00,GEN-01,2091.5,95.0,333.2,99.5,0,
2026-07-11T11:57:10+00:00,GEN-01,2124.9,93.7,356.5,100.7,0,
2026-07-11T11:57:11+00:00,GEN-01,2084.0,96.0,334.3,100.8,0,
2026-07-11T11:57:12+00:00,GEN-01,2111.6,95.3,348.9,100.3,0,
2026-07-11T11:57:13+00:00,GEN-01,2122.6,95.8,363.0,101.0,0,
2026-07-11T11:57:14+00:00,GEN-01,2110.2,93.8,346.8,101.6,0,
2026-07-11T11:57:15+00:00,GEN-01,2101.6,95.9,342.2,102.1,0,
2026-07-11T11:57:16+00:00,GEN-01,2095.2,95.1,335.9,100.5,0,
2026-07-11T11:57:17+00:00,GEN-01,2102.4,94.3,339.3,99.8,0,
2026-07-11T11:57:18+00:00,GEN-01,2123.5,94.5,362.4,100.7,0,
2026-07-11T11:57:19+00:00,GEN-01,2121.3,93.6,359.7,100.0,0,
2026-07-11T11:57:20+00:00,GEN-01,2104.2,94.7,348.0,100.1,0,
2026-07-11T11:57:21+00:00,GEN-01,2089.7,95.5,330.1,101.1,0,
2026-07-11T11:57:22+00:00,GEN-01,2118.7,94.1,362.3,101.8,0,
2026-07-11T11:57:23+00:00,GEN-01,2087.1,95.1,327.1,101.0,0,
2026-07-11T11:57:24+00:00,GEN-01,2101.1,93.9,339.5,101.1,0,
2026-07-11T11:57:25+00:00,GEN-01,2098.2,92.7,337.6,101.8,0,
2026-07-11T11:57:26+00:00,GEN-01,2120.6,94.7,357.0,101.4,0,
2026-07-11T11:57:27+00:00,GEN-01,2113.2,96.0,352.2,100.0,0,
2026-07-11T11:57:28+00:00,GEN-01,2116.8,95.8,358.4,100.4,0,
2026-07-11T11:57:29+00:00,GEN-01,2114.2,94.3,354.9,100.6,0,
2026-07-11T11:57:30+00:00,GEN-01,2100.2,95.8,335.6,102.1,0,
2026-07-11T11:57:31+00:00,GEN-01,2118.6,95.7,348.0,99.8,0,
2026-07-11T11:57:32+00:00,GEN-01,2131.9,95.1,359.2,100.8,0,
2026-07-11T11:57:33+00:00,GEN-01,2110.4,94.5,360.4,98.7,0,
2026-07-11T11:57:34+00:00,GEN-01,2120.7,95.6,351.6,100.5,0,
2026-07-11T11:57:35+00:00,GEN-01,2109.5,94.8,347.8,100.2,0,
2026-07-11T11:57:36+00:00,GEN-01,2127.0,94.5,375.6,100.1,0,
2026-07-11T11:57:37+00:00,GEN-01,2121.8,95.7,363.3,101.4,0,
2026-07-11T11:57:38+00:00,GEN-01,2125.2,94.3,364.4,100.2,0,
2026-07-11T11:57:39+00:00,GEN-01,2117.5,95.4,352.8,102.0,0,
2026-07-11T11:57:40+00:00,GEN-01,2137.1,96.0,370.4,101.0,0,
2026-07-11T11:57:41+00:00,GEN-01,2107.2,94.3,348.0,100.7,0,
2026-07-11T11:57:42+00:00,GEN-01,2107.9,95.0,351.7,100.0,0,
2026-07-11T11:57:43+00:00,GEN-01,2104.2,95.3,349.2,102.3,0,
2026-07-11T11:57:44+00:00,GEN-01,2122.5,93.4,364.4,101.0,0,
2026-07-11T11:57:45+00:00,GEN-01,2104.2,94.4,338.2,102.4,0,
2026-07-11T11:57:46+00:00,GEN-01,2104.0,94.4,341.2,102.9,0,
2026-07-11T11:57:47+00:00,GEN-01,2124.8,94.4,362.0,101.0,0,
2026-07-11T11:57:48+00:00,GEN-01,2131.6,94.1,370.7,101.6,0,
2026-07-11T11:57:49+00:00,GEN-01,2123.0,95.9,370.6,102.1,0,
2026-07-11T11:57:50+00:00,GEN-01,2074.3,94.1,317.3,101.0,0,
2026-07-11T11:57:51+00:00,GEN-01,2100.4,94.8,338.3,99.7,0,
2026-07-11T11:57:52+00:00,GEN-01,2098.9,95.3,341.5,101.8,0,
2026-07-11T11:57:53+00:00,GEN-01,2097.1,96.1,339.2,100.5,0,
2026-07-11T11:57:54+00:00,GEN-01,2109.3,93.6,354.1,100.0,0,
2026-07-11T11:57:55+00:00,GEN-01,2142.8,93.8,378.8,100.5,0,
2026-07-11T11:57:56+00:00,GEN-01,2111.2,94.0,347.8,102.1,0,
2026-07-11T11:57:57+00:00,GEN-01,2105.0,94.6,336.4,100.2,0,
2026-07-11T11:57:58+00:00,GEN-01,2126.7,95.6,362.7,100.5,0,
2026-07-11T11:57:59+00:00,GEN-01,2117.4,94.8,357.3,100.1,0,
2026-07-11T11:58:00+00:00,GEN-01,2118.4,95.0,355.2,102.0,0,
2026-07-11T11:58:01+00:00,GEN-01,2106.5,96.1,350.4,101.6,0,
2026-07-11T11:58:02+00:00,GEN-01,2117.0,94.6,358.1,102.3,0,
2026-07-11T11:58:03+00:00,GEN-01,2123.7,95.0,364.5,101.8,0,
2026-07-11T11:58:04+00:00,GEN-01,2088.7,96.5,320.5,101.5,0,
2026-07-11T11:58:05+00:00,GEN-01,2093.4,95.5,341.6,102.2,0,
2026-07-11T11:58:06+00:00,GEN-01,2134.1,94.4,374.8,101.9,0,
2026-07-11T11:58:07+00:00,GEN-01,2130.6,94.4,352.9,101.3,0,
2026-07-11T11:58:08+00:00,GEN-01,2110.6,95.8,346.1,101.7,0,
2026-07-11T11:58:09+00:00,GEN-01,2103.1,94.0,329.8,102.7,0,
2026-07-11T11:58:10+00:00,GEN-01,2115.8,94.2,349.9,101.6,0,
2026-07-11T11:58:11+00:00,GEN-01,2100.9,95.5,335.0,99.7,0,
2026-07-11T11:58:12+00:00,GEN-01,2113.9,96.0,345.0,99.3,0,
2026-07-11T11:58:13+00:00,GEN-01,2143.9,96.3,383.3,100.3,0,
2026-07-11T11:58:14+00:00,GEN-01,2121.4,94.1,364.5,101.9,0,
2026-07-11T11:58:15+00:00,GEN-01,2137.1,95.3,371.3,101.5,0,
2026-07-11T11:58:16+00:00,GEN-01,2116.4,92.3,348.1,101.7,0,
2026-07-11T11:58:17+00:00,GEN-01,2125.5,94.3,369.8,101.0,0,
2026-07-11T11:58:18+00:00,GEN-01,2140.9,97.3,372.9,100.9,0,
2026-07-11T11:58:19+00:00,GEN-01,2100.3,96.2,339.4,100.6,0,
2026-07-11T11:58:20+00:00,GEN-01,2115.3,95.5,356.8,100.9,0,
2026-07-11T11:58:21+00:00,GEN-01,2118.4,94.2,355.8,100.9,0,
2026-07-11T11:58:22+00:00,GEN-01,2125.1,94.0,359.2,100.9,0,
2026-07-11T11:58:23+00:00,GEN-01,2144.4,95.8,378.8,100.1,0,
2026-07-11T11:58:24+00:00,GEN-01,2131.6,94.8,370.7,99.8,0,
2026-07-11T11:58:25+00:00,GEN-01,2099.0,94.3,342.7,102.0,0,
2026-07-11T11:58:26+00:00,GEN-01,2117.6,95.6,353.7,101.1,0,
2026-07-11T11:58:27+00:00,GEN-01,2108.4,95.5,338.9,101.3,0,
2026-07-11T11:58:28+00:00,GEN-01,2108.2,94.4,349.8,100.5,0,
2026-07-11T11:58:29+00:00,GEN-01,2152.6,94.6,388.0,101.0,0,
2026-07-11T11:58:30+00:00,GEN-01,2106.5,96.8,352.7,101.3,0,
2026-07-11T11:58:31+00:00,GEN-01,2126.1,94.2,364.6,100.7,0,
2026-07-11T11:58:32+00:00,GEN-01,2112.0,95.8,347.8,100.2,0,
2026-07-11T11:58:33+00:00,GEN-01,2135.9,94.4,368.1,101.4,0,
2026-07-11T11:58:34+00:00,GEN-01,2128.4,94.3,369.4,101.4,0,
2026-07-11T11:58:35+00:00,GEN-01,2125.2,94.2,351.9,99.9,0,
2026-07-11T11:58:36+00:00,GEN-01,2122.4,94.9,360.1,100.1,0,
2026-07-11T11:58:37+00:00,GEN-01,2140.7,95.0,369.5,101.9,0,
2026-07-11T11:58:38+00:00,GEN-01,2109.9,95.6,351.1,100.2,0,
2026-07-11T11:58:39+00:00,GEN-01,2113.1,94.4,352.2,100.2,0,
2026-07-11T11:58:40+00:00,GEN-01,2107.5,95.3,346.9,100.2,0,
2026-07-11T11:58:41+00:00,GEN-01,2144.4,94.6,382.4,101.0,0,
2026-07-11T11:58:42+00:00,GEN-01,2120.2,94.4,364.6,100.8,0,
2026-07-11T11:58:43+00:00,GEN-01,2109.2,95.5,355.7,101.5,0,
2026-07-11T11:58:44+00:00,GEN-01,2118.6,95.4,354.0,100.0,0,
2026-07-11T11:58:45+00:00,GEN-01,2162.6,93.8,403.2,100.4,0,
